[2025-08-09T08:12:55.178Z] CLEANUP: 🧹 HANDMATIGE CLEANUP GESTART
[2025-08-09T08:12:55.313Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754481940901.json (06/08/2025)
[2025-08-09T08:12:55.315Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754478340948.json (06/08/2025)
[2025-08-09T08:12:55.317Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754474741317.json (06/08/2025)
[2025-08-09T08:12:55.319Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754471140979.json (06/08/2025)
[2025-08-09T08:12:55.321Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754467540971.json (06/08/2025)
[2025-08-09T08:12:55.323Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754463940800.json (06/08/2025)
[2025-08-09T08:12:55.325Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754460340669.json (06/08/2025)
[2025-08-09T08:12:55.327Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754456741002.json (06/08/2025)
[2025-08-09T08:12:55.329Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754453140846.json (06/08/2025)
[2025-08-09T08:12:55.331Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754449540730.json (06/08/2025)
[2025-08-09T08:12:55.333Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754445940938.json (06/08/2025)
[2025-08-09T08:12:55.335Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754442340834.json (06/08/2025)
[2025-08-09T08:12:55.337Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754438741247.json (06/08/2025)
[2025-08-09T08:12:55.339Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754435140905.json (06/08/2025)
[2025-08-09T08:12:55.342Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754431540690.json (06/08/2025)
[2025-08-09T08:12:55.344Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754427940626.json (05/08/2025)
[2025-08-09T08:12:55.346Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754424340630.json (05/08/2025)
[2025-08-09T08:12:55.348Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754420740505.json (05/08/2025)
[2025-08-09T08:12:55.350Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754417141219.json (05/08/2025)
[2025-08-09T08:12:55.351Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754413540547.json (05/08/2025)
[2025-08-09T08:12:55.354Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754409940670.json (05/08/2025)
[2025-08-09T08:12:55.355Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754406340672.json (05/08/2025)
[2025-08-09T08:12:55.357Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754402741153.json (05/08/2025)
[2025-08-09T08:12:55.359Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754399140966.json (05/08/2025)
[2025-08-09T08:12:55.361Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754395540778.json (05/08/2025)
[2025-08-09T08:12:55.363Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754391940790.json (05/08/2025)
[2025-08-09T08:12:55.365Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754388340811.json (05/08/2025)
[2025-08-09T08:12:55.367Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754384740877.json (05/08/2025)
[2025-08-09T08:12:55.369Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754381141069.json (05/08/2025)
[2025-08-09T08:12:55.370Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754377541072.json (05/08/2025)
[2025-08-09T08:12:55.372Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754374660221.json (05/08/2025)
[2025-08-09T08:12:55.374Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754334340823.json (04/08/2025)
[2025-08-09T08:12:55.376Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754330740676.json (04/08/2025)
[2025-08-09T08:12:55.378Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754327140700.json (04/08/2025)
[2025-08-09T08:12:55.379Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754323540769.json (04/08/2025)
[2025-08-09T08:12:55.381Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754319940653.json (04/08/2025)
[2025-08-09T08:12:55.383Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754316341540.json (04/08/2025)
[2025-08-09T08:12:55.385Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754312740662.json (04/08/2025)
[2025-08-09T08:12:55.386Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754309140804.json (04/08/2025)
[2025-08-09T08:12:55.388Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754305540804.json (04/08/2025)
[2025-08-09T08:12:55.390Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754301940748.json (04/08/2025)
[2025-08-09T08:12:55.392Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754298340706.json (04/08/2025)
[2025-08-09T08:12:55.393Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754294740848.json (04/08/2025)
[2025-08-09T08:12:55.395Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754291141189.json (04/08/2025)
[2025-08-09T08:12:55.397Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754287540974.json (04/08/2025)
[2025-08-09T08:12:55.399Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754283940615.json (04/08/2025)
[2025-08-09T08:12:55.400Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754280341144.json (04/08/2025)
[2025-08-09T08:12:55.403Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754276741777.json (04/08/2025)
[2025-08-09T08:12:55.404Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754273140448.json (04/08/2025)
[2025-08-09T08:12:55.406Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754269540522.json (04/08/2025)
[2025-08-09T08:12:55.408Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754265940552.json (04/08/2025)
[2025-08-09T08:12:55.410Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754262340853.json (04/08/2025)
